Company,Location,Role,Salary,StartDate,Status,SubmitDate,Year
FIRST DERIVATIVES US INC,"NEW YORK, NY",DATA SCIENTIST,70000,04/20/2018,CERTIFIED,04/17/2018,2018
INTL FCSTONE INC,"CHICAGO, IL",DATA SCIENTIST,70000,09/13/2018,CERTIFIED,03/15/2018,2018
PUBLISHERS CLEARING HOUSE LLC,"JERICHO, NY",DATA SCIENTIST,70000,09/08/2018,CERTIFIED,03/12/2018,2018
ELUTIONS INC,"DELAFIELD, WI",DATA SCIENTIST,70000,09/15/2018,CERTIFIED,03/17/2018,2018
THE HERTZ CORPORATION,"ESTERO, FL",DATA SCIENTIST,70000,09/08/2018,CERTIFIED,03/13/2018,2018
MAESTRO TECHNOLOGIESINC,"TRENTON, NJ",DATA SCIENTIST,70000,09/15/2018,CERTIFIED,03/20/2018,2018
MAXIMA CONSULTING INC,"QUINCY, MA",DATA SCIENTIST,70000,09/05/2018,CERTIFIED,03/07/2018,2018
RELIABLE SOFTWARE RESOURCES INC,"NORTHVILLE, MI",DATA SCIENTIST,70000,03/01/2018,CERTIFIED,02/22/2018,2018
LOVEN SYSTEMS,"NORTHVILLE, MI",DATA SCIENTIST,70000,09/01/2018,CERTIFIED,03/19/2018,2018
MASHWORK INC,"NEW YORK, NY",DATA SCIENTIST,70000,09/08/2018,CERTIFIED,03/09/2018,2018
GROOVE HEALTH INC,"CHICAGO, IL",DATA SCIENTIST,70000,09/14/2018,CERTIFIED,03/20/2018,2018
CKM ADVISORS LLC,"NEW YORK, NY",DATA SCIENTIST,70000,09/14/2018,CERTIFIED,03/15/2018,2018
CREIGHTON UNIVERSITY,"OMAHA, NE",DATA SCIENTIST,70000,08/20/2018,CERTIFIED,08/09/2018,2018
CREDIT2B LLC,"SOUTH PLAINFIELD, NJ",DATA SCIENTIST,70000,08/15/2018,CERTIFIED,02/19/2018,2018
RIFINITI INC,"BOSTON, MA",DATA SCIENTIST,70000,09/15/2018,CERTIFIED,03/16/2018,2018
ALAMERE SOFTWARE INC,"BELLEVUE, WA",DATA SCIENTIST,70000,09/11/2018,CERTIFIED,03/15/2018,2018
NGA GROUP INC,"PHOENIX, AZ",DATA SCIENTIST,70000,08/29/2018,CERTIFIED,08/29/2018,2018
ALORICA INC,"SUNNYVALE, CA",DATA SCIENTIST,70000,06/21/2018,CERTIFIED,06/21/2018,2018
CONSUMER ORBIT LLC,"KANSAS CITY, MO",DATA SCIENTIST,70000,09/01/2018,CERTIFIED,03/16/2018,2018
GROOVE HEALTH INC,"CHICAGO, IL",DATA SCIENTIST,70000,09/14/2018,CERTIFIED,03/16/2018,2018
AVANT-GARDE HEALTH INC,"ALLSTON, MA",DATA SCIENTIST,70000,08/30/2018,CERTIFIED,03/01/2018,2018
CAIDAN MANAGEMENT COMPANY LLC,"DETROIT, MI",DATA SCIENTIST,70000,03/19/2018,CERTIFIED,03/08/2018,2018
FORD MOTOR COMPANY,"DEARBORN, MI",DATA SCIENTIST,70200,07/23/2018,CERTIFIED,06/20/2018,2018
INFOSHARE SYSTEMS INC,"MISSION VIEJO, CA",DATA SCIENTIST,70678,09/03/2018,CERTIFIED,03/20/2018,2018
AMERICAN BANKERS LIFE ASSURANCE COMPANY OF FLORIDA,"ALTANTA, GA",DATA SCIENTIST,70750,09/01/2018,CERTIFIED,03/05/2018,2018
LIFE TECHNOLOGIES CORPORATION,"CARLSBAD, CA",DATA SCIENTIST,70928,09/05/2018,CERTIFIED,03/06/2018,2018
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,"JACKSON, MS",DATA SCIENTIST,70990,05/12/2018,CERTIFIED,04/04/2018,2018
ELUTIONS INC,"DELAFIELD, WI",DATA SCIENTIST,71000,09/14/2018,CERTIFIED,03/15/2018,2018
HOMES MEDIA SOLUTIONS LLC,"NORFOLK, VA",DATA SCIENTIST,71074,08/27/2018,CERTIFIED,02/26/2018,2018
HARLAND CLARKE CORPORATION,"SAN ANTONIO, TX",DATA SCIENTIST,71099,08/17/2018,CERTIFIED,02/16/2018,2018
THE NIELSEN COMPANY (US) LLC,"OLDSMAR, FL",DATA SCIENTIST,71365,08/04/2018,CERTIFIED,02/12/2018,2018
AMERICAN BANKERS LIFE ASSURANCE COMPANY OF FLORIDA,"ATLANTA, GA",DATA SCIENTIST,71578,08/28/2018,CERTIFIED,03/05/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,08/04/2018,CERTIFIED,02/02/2018,2018
CORTEX MANAGEMENT LLC,"ADDISON, TX",DATA SCIENTIST,72000,09/04/2018,CERTIFIED,03/05/2018,2018
OPERA TECHNOLOGIES INC,"MADISON, WI",DATA SCIENTIST,72000,09/13/2018,CERTIFIED,03/14/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,07/07/2018,CERTIFIED,01/05/2018,2018
BRAMBLES USA INC,"SANTA CLARA, CA",DATA SCIENTIST,72000,09/08/2018,CERTIFIED,03/13/2018,2018
IBM,"ANN ARBOR, MI",DATA SCIENTIST,72000,07/10/2018,CERTIFIED,02/12/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,08/02/2018,CERTIFIED,01/31/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,07/10/2018,CERTIFIED,01/08/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,08/02/2018,CERTIFIED,03/09/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,07/11/2018,CERTIFIED,02/06/2018,2018
BRIDGETOWN CONSULTING GROUP INC,"SUNNYVALE, CA",DATA SCIENTIST,72000,09/10/2018,CERTIFIED,03/13/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,07/07/2018,CERTIFIED,03/06/2018,2018
CARDINAL INNOVATIONS HEALTHCARE SOLUTIONS,"CHARLOTTE, NC",DATA SCIENTIST,72000,09/12/2018,CERTIFIED,03/16/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,08/04/2018,CERTIFIED,03/15/2018,2018
IBM CORPORATION,"ANN ARBOR, MI",DATA SCIENTIST,72000,07/20/2018,CERTIFIED,01/18/2018,2018
FOCUS OPTIMAL LLC,"FRAMINGHAM, MA",DATA SCIENTIST,72000,09/18/2018,CERTIFIED,03/19/2018,2018
PRANETOR SOFTWARE SOLUTIONS LLC,"ROCHESTER, MI",DATA SCIENTIST,72000,09/17/2018,CERTIFIED,03/19/2018,2018
DATAX LTD,"LAS VEGAS, NV",DATA SCIENTIST,72100,08/07/2018,CERTIFIED,02/08/2018,2018
CALTHORPE ANALYTICS INC,"BERKELEY, CA",DATA SCIENTIST,72450,09/16/2018,CERTIFIED,03/22/2018,2018
CALTHORPE ANALYTICS INC,"BERKELEY, CA",DATA SCIENTIST,72450,09/16/2018,CERTIFIED,03/20/2018,2018
BAYLOR MIRACA GENETICS LABORATORIES LLC,"HOUSTON, TX",DATA SCIENTIST,72500,09/12/2018,CERTIFIED,03/13/2018,2018
SOUTHWEST AIRLINES CO,"DALLAS, TX",DATA SCIENTIST,72600,04/16/2018,CERTIFIED,04/04/2018,2018
FORD MOTOR COMPANY,"DEARBORN, MI",DATA SCIENTIST,72779,05/07/2018,CERTIFIED,04/11/2018,2018
ONE GAS INC,"TULSA, OK",DATA SCIENTIST,73070,09/11/2018,CERTIFIED,03/20/2018,2018
ONE GAS INC,"TULSA, OK",DATA SCIENTIST,73070,08/06/2018,CERTIFIED,02/14/2018,2018
MATRIX ANALYTICS CORPORATION,"RIDGEFIELD PARK, NJ",DATA SCIENTIST,73500,09/09/2018,CERTIFIED,03/15/2018,2018
ORACLE AMERICA INC,"BROOMFIELD, CO",DATA SCIENTIST,73942,03/03/2018,CERTIFIED,02/22/2018,2018
EXPEDENT CORP,"AUBURN HILLS, MI",DATA SCIENTIST,74000,08/21/2018,CERTIFIED,03/15/2018,2018
ENODO SCORE INC,"CHICAGO, IL",DATA SCIENTIST,74000,09/06/2018,CERTIFIED,03/08/2018,2018
INTEL CORPORATION,"CHANDLER, AZ",DATA SCIENTIST,74277,09/05/2018,CERTIFIED,03/09/2018,2018
WAVE SOLUTIONS INC,"CHICAGO, IL 60654, IL",DATA SCIENTIST,74339,09/01/2018,CERTIFIED,03/22/2018,2018
THOUGHTWAVE SOFTWARE AND SOLUTIONS INC,"CHICAGO, IL",DATA SCIENTIST,74339,09/01/2018,CERTIFIED,03/21/2018,2018
IBM CORPORATION,"DURHAM, NC",DATA SCIENTIST,74381,08/21/2018,CERTIFIED,02/19/2018,2018
NATIONAL FINANCIAL LLC,"SMITHFIELD, RI",DATA SCIENTIST,74506,09/12/2018,CERTIFIED,03/17/2018,2018
SOUTHWEST AIRLINES CO,"DALLAS, TX",DATA SCIENTIST,74734,11/12/2018,CERTIFIED,10/30/2018,2018
INTEL CORPORATION,"CHANDLER, AZ",DATA SCIENTIST,74880,02/07/2019,CERTIFIED,09/10/2018,2018
UBER TECHNOLOGIES INC,"SAN FRANCISCO, CA",DATA SCIENTIST,74880,06/01/2018,CERTIFIED,03/22/2018,2018
MARKETPHARM LLC,"SPRING LAKE HEIGHTS, NJ",DATA SCIENTIST,75000,09/01/2018,CERTIFIED,03/02/2018,2018
3J DECISION ANALYTICS LLC,"NEEDHAM, MA",DATA SCIENTIST,75000,09/19/2018,CERTIFIED,03/20/2018,2018
CIVITAS LEARNING INC,"AUSTIN, TX",DATA SCIENTIST,75000,05/21/2018,CERTIFIED,05/14/2018,2018
ADS ALLIANCE DATA SYSTEMS INC,"CHICAGO, IL",DATA SCIENTIST,75000,08/30/2018,CERTIFIED,03/05/2018,2018
ADAMS LAND & CATTLE LLC,"BROKEN BOW, NE",DATA SCIENTIST,75000,09/05/2018,CERTIFIED,03/09/2018,2018
RANG TECHNOLOGIES INC,"BELLEVUE, WA",DATA SCIENTIST,75000,09/02/2018,CERTIFIED,03/23/2018,2018
KAIZEN ANALYTIX LLC,"JOHNS CREEK, GA",DATA SCIENTIST,75000,09/13/2018,CERTIFIED,03/14/2018,2018
US DIRECT,"IRVINE, CA",DATA SCIENTIST,75000,09/10/2018,CERTIFIED,08/31/2018,2018
DENSO MANUFACTURING MICHIGAN INC,"BATTLE CREEK, MI",DATA SCIENTIST,75000,09/20/2018,CERTIFIED,03/27/2018,2018
VANDA PHARMACEUTICALS INC,"WASHINGTON, DC",DATA SCIENTIST,75000,08/07/2018,CERTIFIED,02/06/2018,2018
INTERACTIVE DATA PRICING AND REFERENCE DATA LLC,"NEW YORK, NY",DATA SCIENTIST,75000,01/12/2018,CERTIFIED,01/11/2018,2018
PROJECT APPLECART LLC,"NEW YORK, NY",DATA SCIENTIST,75000,09/14/2018,CERTIFIED,03/19/2018,2018
CROWDSKOUT LLC,"WASHINGTON, DC",DATA SCIENTIST,75000,09/16/2018,CERTIFIED,03/19/2018,2018
INTERACTIVE DATA PRICING & REFERENCE DATA LLC,"NEW YORK, NY",DATA SCIENTIST,75000,08/30/2018,CERTIFIED,03/01/2018,2018
CORECOMPETE INC,"DURHAM, NC",DATA SCIENTIST,75000,09/07/2018,CERTIFIED,03/14/2018,2018
WATTERS DESIGNS INC,"DALLAS, TX",DATA SCIENTIST,75000,08/31/2018,CERTIFIED,03/01/2018,2018
APOLLOVERSITY INCIRPORATED,"OAKLAND, CA",DATA SCIENTIST,75000,08/06/2018,CERTIFIED,07/23/2018,2018
3J DECISION ANALYTICS LLC,"NEEDHAM, MA",DATA SCIENTIST,75000,09/12/2018,CERTIFIED,03/13/2018,2018
3I INFOTECH INC,"REDMOND, WA",DATA SCIENTIST,75000,02/02/2018,CERTIFIED,01/25/2018,2018
GENERAL ELECTRIC COMPANY,"ATLANTA, GA",DATA SCIENTIST,75000,08/16/2018,CERTIFIED,02/15/2018,2018
GOGOTECH II LLC,"NEW YORK, NY",DATA SCIENTIST,75000,09/01/2018,CERTIFIED,03/12/2018,2018
ZORO TOOLS INC,"BUFFALO  GROVE, IL",DATA SCIENTIST,75000,08/01/2018,CERTIFIED,02/06/2018,2018
QCUE INC,"AUSTIN, TX",DATA SCIENTIST,75000,08/07/2018,CERTIFIED,02/06/2018,2018
VULCAN MANAGEMENT INC,"BIRMINGHAM, AL",DATA SCIENTIST,75000,09/19/2018,CERTIFIED,03/22/2018,2018
RENAISSANCE LEARNING INC,"MADISON, WI",DATA SCIENTIST,75000,09/20/2018,CERTIFIED,03/24/2018,2018
SSFP CORP,"BELLEVUE, WA",DATA SCIENTIST,75000,09/11/2018,CERTIFIED,03/12/2018,2018
SERVICELINK MANAGEMENT COMPANY LLC,"MOON TOWNSHIP, PA",DATA SCIENTIST,75200,07/26/2018,CERTIFIED,02/01/2018,2018
8K MILES SOFTWARE SERVICES INC,"PLEASANTON, CA",DATA SCIENTIST,75213,09/16/2018,CERTIFIED,03/17/2018,2018
TEKSKY LLC,"BOCA RATON, FL",DATA SCIENTIST,75317,09/08/2018,CERTIFIED,03/12/2018,2018
R SMITH INTERNATIONAL LLC,"BOCA RATON, FL",DATA SCIENTIST,75317,08/29/2018,CERTIFIED,03/07/2018,2018
XTALPI INC,"CAMBRIDGE, MA",DATA SCIENTIST,75650,09/11/2018,CERTIFIED,03/12/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,75733,10/08/2018,CERTIFIED,08/29/2018,2018
GNOMMME LLC,"BOSTON, MA",DATA SCIENTIST,75733,09/16/2018,CERTIFIED,03/19/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,75733,07/09/2018,CERTIFIED,07/09/2018,2018
APPTOPIA INC,"BOSTON, MA",DATA SCIENTIST,75800,09/01/2018,CERTIFIED,03/08/2018,2018
BACKCOUNTRYCOM LLC,"PARK CITY, UT",DATA SCIENTIST,75982,01/15/2018,CERTIFIED,01/05/2018,2018
THEATRO LABS INC,"RICHARDSON, TX",DATA SCIENTIST,76000,09/05/2018,CERTIFIED,03/07/2018,2018
CORTLAND PARTNERS,"ATLANTA, GA",DATA SCIENTIST,76000,09/03/2018,CERTIFIED,03/21/2018,2018
FRAANK SYSTEMS,"NEW YORK, NY",DATA SCIENTIST,76000,09/19/2018,CERTIFIED,03/22/2018,2018
MOGEAN INC,"ATLANTA, GA",DATA SCIENTIST,76000,09/15/2018,CERTIFIED,03/20/2018,2018
GROUPON INC,"CHICAGO, IL",DATA SCIENTIST,76100,08/28/2018,CERTIFIED,02/26/2018,2018
GROUPON INC,"CHICAGO, IL",DATA SCIENTIST,76100,08/31/2018,CERTIFIED,03/02/2018,2018
LEVEL 3 COMMUNICATIONS LLC,"BROOMFIELD, CO",DATA SCIENTIST,76492,09/12/2018,CERTIFIED,03/16/2018,2018
XSELL TECHNOLOGIES INC,"CHICAGO, IL",DATA SCIENTIST,76500,09/02/2018,CERTIFIED,03/06/2018,2018
CBRE INC,"DALLAS, TX",DATA SCIENTIST,76586,09/13/2018,CERTIFIED,03/21/2018,2018
VERTEX COMPUTER SYSTEMS INC,"CINCINNATI, OH",DATA SCIENTIST,76600,09/18/2018,CERTIFIED,03/19/2018,2018
CENTRAL PACIFIC BANK,"HONOLULU, HI",DATA SCIENTIST,76752,04/15/2019,CERTIFIED,12/20/2018,2018
DATA APPLICATION LAB,"MONTEREY PARK, CA",DATA SCIENTIST,76794,03/10/2018,CERTIFIED,03/02/2018,2018
THE DOW CHEMICAL COMPANY,"AUBURN, MI",DATA SCIENTIST,76918,09/05/2018,CERTIFIED,03/16/2018,2018
SEMETRIX INC,"PLANO, TX",DATA SCIENTIST,77000,09/10/2018,CERTIFIED,03/22/2018,2018
SEMETRIX INC,"PLANO, TX",DATA SCIENTIST,77000,09/10/2018,CERTIFIED,03/20/2018,2018
GLAXOSMITHKLINE LLC,"SAN FRANCISCO, CA",DATA SCIENTIST,77000,01/15/2018,CERTIFIED,01/05/2018,2018
GLAXOSMITHKLINE LLC,"SAN FRANCISCO, CA",DATA SCIENTIST,77000,03/12/2018,CERTIFIED,03/06/2018,2018
QUICKEN LOANS INC,"DETROIT, MI",DATA SCIENTIST,77000,09/12/2018,CERTIFIED,03/13/2018,2018
KEYPIXEL SOFTWARE SOLUTIONS LLC,"KATY, TX",DATA SCIENTIST,77000,08/15/2018,CERTIFIED,03/20/2018,2018
ITLIZE GLOBAL LLC,"PHILADELPHIA, PA",DATA SCIENTIST,77043,08/15/2018,CERTIFIED,02/27/2018,2018
ITLIZE GLOBAL LLC,"PHILADELPHIA, PA",DATA SCIENTIST,77050,08/15/2018,CERTIFIED,03/12/2018,2018
SOOTHE INC,"LOS ANGELES, CA",DATA SCIENTIST,77106,08/25/2018,CERTIFIED,03/12/2018,2018
NTELLIGIS LLC,"NEW YORK, NY",DATA SCIENTIST,77500,09/08/2018,CERTIFIED,03/15/2018,2018
INTEL CORPORATION,"HILLSBORO, OR",DATA SCIENTIST,77626,06/27/2018,CERTIFIED,06/22/2018,2018
CAPITAL ONE NATIONAL ASSOCIATION,"PLANO, TX",DATA SCIENTIST,77700,07/28/2018,CERTIFIED,03/02/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,08/08/2018,CERTIFIED,03/05/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,08/24/2018,CERTIFIED,03/06/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,08/31/2018,CERTIFIED,03/05/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,06/04/2018,CERTIFIED,05/01/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,08/09/2018,CERTIFIED,03/05/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,08/30/2018,CERTIFIED,03/14/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,07/31/2018,CERTIFIED,02/01/2018,2018
WAYFAIR LLC,"BOSTON, MA",DATA SCIENTIST,77854,08/04/2018,CERTIFIED,02/16/2018,2018
MERCURY DATA SCIENCE LLC,"HOUSTON, TX",DATA SCIENTIST,78000,09/13/2018,CERTIFIED,03/14/2018,2018
MERCURY DATA SCIENCE LLC,"HOUSTON, TX",DATA SCIENTIST,78000,09/29/2018,CERTIFIED,03/30/2018,2018
IBLESOFT INCDUNS#791327054,"PLANO, TX",DATA SCIENTIST,78000,09/03/2018,CERTIFIED,08/20/2018,2018
ENODO SCORE INC,"CHICAGO, IL",DATA SCIENTIST,78000,08/21/2018,CERTIFIED,02/21/2018,2018
VODA INC,"BOSTON, MA",DATA SCIENTIST,78000,09/16/2018,CERTIFIED,03/20/2018,2018
CLEAR LINK TECHNOLOGIES LLC,"SALT LAKE CITY, UT",DATA SCIENTIST,78000,08/15/2018,CERTIFIED,03/19/2018,2018
PRESCRIBE WELLNESS LLC,"HINGHAM, MA",DATA SCIENTIST,78000,09/01/2018,CERTIFIED,03/20/2018,2018
RECORDED FUTURE INC,"SOMERVILLE, MA",DATA SCIENTIST,78000,09/04/2018,CERTIFIED,03/05/2018,2018
MERCURY DATA SCIENCE LLC,"HOUSTON, TX",DATA SCIENTIST,78000,09/20/2018,CERTIFIED,03/21/2018,2018
ADP TECHNOLOGY SERVICES INC,"ROSELAND, NJ",DATA SCIENTIST,78083,08/23/2018,CERTIFIED,02/26/2018,2018
BOOZ ALLEN HAMILTON INC,"WASHINGTON, DC",DATA SCIENTIST,78374,09/05/2018,CERTIFIED,03/09/2018,2018
UNITED EDUCATORS MANAGEMENT COMPANY,"BETHESDA, MD",DATA SCIENTIST,78374,09/01/2018,CERTIFIED,03/02/2018,2018
TECHNO-COMP INC,"SOMERSET, NJ",DATA SCIENTIST,78500,09/02/2018,CERTIFIED,03/08/2018,2018
EGENCIA LLC,"BELLEVUE, WA",DATA SCIENTIST,78582,08/17/2018,CERTIFIED,02/21/2018,2018
GRAB TECHNOLOGY CORP,"SEATTLE, WA",DATA SCIENTIST,78666,04/23/2018,CERTIFIED,03/28/2018,2018
ZILLOW INC,"SEATTLE, WA",DATA SCIENTIST,78666,08/01/2018,CERTIFIED,01/30/2018,2018
HERE NORTH AMERICA LLC,"SEATTLE, WA",DATA SCIENTIST,78666,08/16/2018,CERTIFIED,03/13/2018,2018
CSAA INSURANCE SERVICES INC,"WALNUT CREEK, CA",DATA SCIENTIST,78700,09/01/2018,CERTIFIED,03/06/2018,2018
FORD MOTOR COMPANY,"DEARBORN, MI",DATA SCIENTIST,78720,05/07/2018,CERTIFIED,04/03/2018,2018
LOCUS ENERGY INC,"SAN FRANCISCO, CA",DATA SCIENTIST,79206,10/03/2018,CERTIFIED,09/25/2018,2018
COX AUTOMOTIVE CORPORATE SERVICES LLC,"REDWOOD CITY, CA",DATA SCIENTIST,79206,01/01/2019,CERTIFIED,11/01/2018,2018
LOGITECH INC,"NEWARK, CA",DATA SCIENTIST,79997,07/26/2018,CERTIFIED,01/30/2018,2018
CONVERSION LOGIC INC,"LOS ANGELES, CA",DATA SCIENTIST,80000,10/29/2018,CERTIFIED,10/11/2018,2018
ACCIDENT FUND INSURANCE COMPANY OF AMERICA,"LANSING, MI",DATA SCIENTIST,80000,01/14/2019,CERTIFIED,12/28/2018,2018
TRINITY INDUSTRIES INC,"DALLAS, TX",DATA SCIENTIST,80000,09/12/2018,CERTIFIED,03/20/2018,2018
AETNA RESOURCES LLC,"HARTFORD, CT",DATA SCIENTIST,80000,08/09/2018,CERTIFIED,02/08/2018,2018
FUZZY LOGIX INC,"CHARLOTTE, NC",DATA SCIENTIST,80000,09/08/2018,CERTIFIED,03/19/2018,2018
HEFNER ENERGY HOLDINGS LLC,"OKLAHOMA CITY, CA",DATA SCIENTIST,80000,09/18/2018,CERTIFIED,03/19/2018,2018
LOADSMART,"NEW YORK, NY",DATA SCIENTIST,80000,08/28/2018,CERTIFIED,03/01/2018,2018
FUZZY LOGIX INC,"CHARLOTTE, NC",DATA SCIENTIST,80000,09/14/2018,CERTIFIED,03/20/2018,2018
KENSCI INC,"SEATTLE, WA",DATA SCIENTIST,80000,09/01/2018,CERTIFIED,03/16/2018,2018
JVION INC,"JOHNS CREEK, GA",DATA SCIENTIST,80000,09/10/2018,CERTIFIED,03/21/2018,2018
LOGIC LOOPS LLC,"GREENWICH, CT",DATA SCIENTIST,80000,09/15/2018,CERTIFIED,03/16/2018,2018
SPARKCOGNITION INC,"AUSTIN, TX",DATA SCIENTIST,80000,08/02/2018,CERTIFIED,01/31/2018,2018
FUZZY LOGIX INC,"CHARLOTTE, NC",DATA SCIENTIST,80000,09/11/2018,CERTIFIED,03/19/2018,2018
SEVEN NETWORKS INC,"MARSHALL, TX",DATA SCIENTIST,80000,08/25/2018,CERTIFIED,03/03/2018,2018
AETNA RESOURCES LLC,"NEW YORK, NY",DATA SCIENTIST,80000,08/09/2018,CERTIFIED,02/08/2018,2018
CAMBIA HEALTH SOLUTIONS INC,"PORTLAND, OR",DATA SCIENTIST,80000,08/03/2018,CERTIFIED,02/05/2018,2018
AETNA RESOURCES LLC,"WELLESLEY, MA",DATA SCIENTIST,80000,08/09/2018,CERTIFIED,02/08/2018,2018
NERD KINGDOM INC,"IRVING, TX",DATA SCIENTIST,80000,09/08/2018,CERTIFIED,03/11/2018,2018
SPARKCOGNITION INC,"AUSTIN, TX",DATA SCIENTIST,80000,09/19/2018,CERTIFIED,03/21/2018,2018
APPLAB SYSTEMS INC,"INDIANA POLIS, IN",DATA SCIENTIST,80000,09/08/2018,CERTIFIED,03/11/2018,2018
UNIVERSITY OF PITTSBURGH,"PITTSBURGH, PA",DATA SCIENTIST,80000,08/16/2018,CERTIFIED,03/08/2018,2018
BRIDG INC,"LOS ANGELES, CA",DATA SCIENTIST,80000,09/15/2018,CERTIFIED,03/22/2018,2018
CROWN EQUIPMENT CORPORATION,"NEW BREMEN, OH",DATA SCIENTIST,80000,08/16/2018,CERTIFIED,02/16/2018,2018
PUBLICIS INC,"NEW YORK, NY",DATA SCIENTIST,80000,08/01/2018,CERTIFIED,01/31/2018,2018
QUADRATIC SYSTEMS INC,"NORTHBROOK, IL",DATA SCIENTIST,80000,09/20/2018,CERTIFIED,03/21/2018,2018
INNOVIZANT LLC,"MADISON, WI",DATA SCIENTIST,80000,09/15/2018,CERTIFIED,03/16/2018,2018
SMART HOME SENTRY INC,"VALLEJO, CA",DATA SCIENTIST,80000,09/18/2018,CERTIFIED,03/19/2018,2018
MOBSTAZ CORPORATION,"UNION CITY, CA",DATA SCIENTIST,80000,09/04/2018,CERTIFIED,03/05/2018,2018
AQUICORE INC,"WASHINGTON, DC",DATA SCIENTIST,80000,09/14/2018,CERTIFIED,03/20/2018,2018
KOGENTIX INC,"SCHAUMBURG, IL",DATA SCIENTIST,80000,09/06/2018,CERTIFIED,03/14/2018,2018
PYRAMID CONSULTING INC,"ALPHARETTA, GA",DATA SCIENTIST,80000,08/01/2018,CERTIFIED,02/08/2018,2018
SUNCOAST CREDIT UNION,"TAMPA, FL",DATA SCIENTIST,80000,09/01/2018,CERTIFIED,03/13/2018,2018
GEISINGER SYSTEM SERVICES,"DANVILLE, PA",DATA SCIENTIST,80000,02/05/2018,CERTIFIED,01/25/2018,2018
COYOTE LOGISTICS LLC,"CHICAGO, IL",DATA SCIENTIST,80000,07/23/2018,CERTIFIED,01/23/2018,2018
KENSCI INC,"SEATTLE, WA",DATA SCIENTIST,80000,09/01/2018,CERTIFIED,03/28/2018,2018
CHICAGO MERCANTILE EXCHANGE INC,"CHICAGO, IL",DATA SCIENTIST,80000,08/28/2018,CERTIFIED,03/05/2018,2018
MCKESSON CORPORATION,"GOLDEN VALLEY, MN",DATA SCIENTIST,80234,09/04/2018,CERTIFIED,03/08/2018,2018
MCKESSON CORPORATION,"GOLDEN VALLEY, MN",DATA SCIENTIST,80234,09/04/2018,CERTIFIED,03/13/2018,2018
NORDSTROM INC,"SEATTLE, WA",DATA SCIENTIST,80413,01/02/2019,CERTIFIED,12/11/2018,2018
INTEL CORPORATION,"HILLSBORO, OR",DATA SCIENTIST,80850,12/07/2018,CERTIFIED,12/03/2018,2018
TRUECAR INC,"SANTA MONICA, CA",DATA SCIENTIST,81000,02/12/2018,CERTIFIED,02/01/2018,2018
EPITEC INC,"DEARBORN, MI",DATA SCIENTIST,81037,09/05/2018,CERTIFIED,03/06/2018,2018
IBM CORPORATION,"YORKTOWN HIEGHTS, NY",DATA SCIENTIST,81037,09/21/2018,CERTIFIED,03/28/2018,2018
ARROSOFT SOLUTIONS LLC,"ISELIN, NJ",DATA SCIENTIST,81037,09/19/2018,CERTIFIED,03/20/2018,2018
KOMODO HEALTH INC,"NEW YORK, NY",DATA SCIENTIST,81037,09/08/2018,CERTIFIED,03/09/2018,2018
ZILLOW INC,"NEW YORK, NY",DATA SCIENTIST,81037,08/02/2018,CERTIFIED,01/31/2018,2018
THE NIELSEN COMPANY (US) LLC,"NEW YORK, NY",DATA SCIENTIST,81037,04/02/2018,CERTIFIED,03/23/2018,2018
KOMODO HEALTH INC,"NEW YORK, NY",DATA SCIENTIST,81037,09/19/2018,CERTIFIED,03/20/2018,2018
THE NIELSEN COMPANY (US) LLC,"NEW YORK, NY",DATA SCIENTIST,81037,09/11/2018,CERTIFIED,03/15/2018,2018
PLYMOUTH ROCK MANAGEMENT COMPANY OF NEW JERSEY,"RED BANK, NJ",DATA SCIENTIST,81037,09/01/2018,CERTIFIED,03/12/2018,2018
1000MERCIS INC,"NEW YORK, NY",DATA SCIENTIST,81037,09/15/2018,CERTIFIED,03/19/2018,2018
UBER TECHNOLOGIES INC,"PITTSBURGH, PA",DATA SCIENTIST,81120,06/01/2018,CERTIFIED,01/02/2018,2018
