Company,Location,Role,Salary,StartDate,Status,SubmitDate,Year
GUIDEWIRE SOFTWARE INC,"FOSTER CITY, CA",DATA SCIENTIST,136573,10/29/2014,CERTIFIED,10/29/2014,2014
GUIDEWIRE SOFTWARE INC,"FOSTER CITY, CA",DATA SCIENTIST,136573,01/05/2015,CERTIFIED,11/04/2014,2014
FACEBOOK INC,"MENLO PARK, CA",DATA SCIENTIST,138000,12/29/2014,CERTIFIED,12/16/2014,2014
MICROSOFT CORPORATION,"CAMBRIDGE, MA",DATA SCIENTIST,138900,10/28/2014,CERTIFIED,10/28/2014,2014
QUANTIPLY CORPORATION,"SAN JOSE, CA",DATA SCIENTIST,140000,10/01/2014,CERTIFIED,09/30/2014,2014
WAL-MART ASSOCIATES INC,"SUNNYVALE, CA",DATA SCIENTIST,140000,10/13/2014,CERTIFIED,09/29/2014,2014
QUANTIPLY CORPORATION,"PALO ALTO, CA",DATA SCIENTIST,140000,10/15/2014,CERTIFIED,10/10/2014,2014
FACEBOOK INC,"NEW YORK, NY",DATA SCIENTIST,140000,11/17/2014,CERTIFIED,11/07/2014,2014
FACEBOOK INC,"MENLO PARK, CA",DATA SCIENTIST,148000,02/09/2015,CERTIFIED,12/31/2014,2014
STITCH FIX INC,"SAN FRANCISCO, CA",DATA SCIENTIST,150000,10/27/2014,CERTIFIED,10/16/2014,2014
CANVAS FRG LLC,"NEW YORK, NY",DATA SCIENTIST,150000,11/10/2014,CERTIFIED,10/31/2014,2014
VIPSHOP US,"SAN JOSE, CA",DATA SCIENTIST,150000,11/11/2014,CERTIFIED,11/10/2014,2014
POINT72 ASSET MANAGEMENT LP,"NEW YORK, NY",DATA SCIENTIST,150000,12/01/2014,CERTIFIED,11/21/2014,2014
AYASDI INC,"MENLO PARK, CA",DATA SCIENTIST,155000,12/08/2014,CERTIFIED,11/20/2014,2014
AIRBNB INC,"SAN FRANCISCO, CA",DATA SCIENTIST,160000,10/13/2014,CERTIFIED,09/26/2014,2014
INTENT MEDIA INC,"NEW YORK, NY",DATA SCIENTIST,163000,12/15/2014,CERTIFIED,10/07/2014,2014
